Student 1,Student 2,Student 3,Student 4,Student 5,Student 6,Student 7,Student 8,Student 9,Student 10
82.5,82.5,81.5,97.5,84.5,116,88.5,89,70.5,109
96.33,94.67,94,100,97.67,98.67,102,97.67,82.33,90
86.25,91.5,88.75,94.75,85.25,95.25,88.5,116.75,76.25,99
98.6,88.2,98.4,100.4,97.8,90.2,101.8,106.2,86.4,90
107.5,84.83,95.83,96.33,94.83,93.33,105.33,109.5,92.67,83.5
113.71,84.43,103,101.14,104.14,95.14,117.14,112.43,96.86,82
107.38,84,108.38,102.62,103.38,96.38,111.88,115.62,100,80.62
111.56,83.33,112.56,100.78,103.56,97.33,116.67,118.11,102.22,79.67
106.4,82.8,116.5,104.2,100.7,97,116.7,120.2,104,78.8
109.36,82.36,119.55,101.36,105.73,96.73,116.36,121.82,102.82,78.09
110.75,82,122,104.58,103.33,96.42,115.5,123.17,102.67,77.58
111.92,81.69,124,102,107.54,96.23,114.92,124.15,102.31,77.15
112.14,81.43,126.5,104.93,105.5,96.07,114.14,124.93,101.93,76.79
110.8,81.2,128.53,109.2,108.93,95.87,113.07,125.27,101.53,76.47
109.56,80.94,130.38,112.94,107.38,95.81,112.12,125.62,101.31,76.19
108.53,80.76,131.88,116.18,110.18,96.12,111.41,125.94,101.12,76.12
107.61,80.56,132.83,119,108.94,96.28,110.78,126.22,100.94,76.06
110.21,80.32,133.42,121.47,111.32,96.42,110.21,126.37,100.74,76.05
112.5,80.05,133.75,118.9,110.25,96.45,109.7,126.35,100.55,76.05
114.52,79.86,133.86,116.14,109.29,96.52,109.29,126.33,100.29,76.05
116.36,79.64,134,113.5,111.36,96.36,108.73,125.86,100.23,76.05
118,79.43,134.13,111.17,110.43,96.09,108.3,125.48,100.09,76.04
119.5,79.25,134.25,109.08,111.79,95.83,108.21,125,100,76.17
120.84,79.08,134.12,107.2,113.04,95.56,108.08,124.36,99.88,76.28
122.08,78.88,133.96,105.69,114.46,95.35,107.96,122.88,99.88,76.42
123.22,78.63,133.81,104.3,116.11,95.19,107.81,120.63,99.78,76.52
124.25,79.25,133.68,103,115.79,95,107.71,118.57,99.75,76.64
125.14,79.69,133.48,101.76,115.55,94.86,107.62,116.66,100.07,76.86
125.2,80.07,133.3,100.6,115.33,94.8,107.53,115.77,100.33,77.03
125.26,80.42,133.19,99.81,115.23,94.81,107.45,115,100.52,77.13
126.12,80.78,132.78,99.06,115.78,94.75,107.38,114.22,100.69,77.16
126.94,81.09,132.42,98.33,115.61,94.7,107.3,113.18,100.91,77.24
127.74,81.35,132.09,97.68,115.53,94.65,107.24,112.09,101,77.35
128.46,81.6,131.74,97.06,115.23,94.63,107.14,110.83,101.17,77.43
129.11,81.83,131.42,96.5,115,94.61,107.08,110.06,101.28,77.64
129.76,82,131.11,96,114.81,94.7,107.03,109.35,101.35,77.76
130.32,82.16,130.76,95.53,114.5,94.87,106.97,108.63,101.45,77.87
130.59,82.26,130.46,95.1,114.13,95,106.92,107.9,101.54,77.95
130.85,82.28,130.15,94.78,113.8,95.07,106.82,107.2,101.7,77.95
131.02,82.27,129.83,94.56,113.46,95.1,106.56,106.51,101.88,77.9
131.29,82.29,129.5,94.33,113.17,95.1,106.26,105.74,101.98,77.86
131.51,82.26,129.16,94.16,112.81,95.07,106,105.02,102.09,77.79
131.7,82.23,128.84,93.75,112.5,95,105.73,104.34,102.18,77.73
131.82,82.11,128.56,93.33,112.13,94.91,105.49,103.69,102.27,77.62
131.93,81.96,128.22,92.89,111.76,94.85,105.26,103.04,102.33,77.54
132.06,81.77,127.85,92.51,111.47,94.87,105.09,102.43,102.36,77.38
132.17,81.58,127.46,92.1,111.17,94.9,104.92,101.81,102.42,77.25
132.14,81.39,127.08,91.73,110.78,94.92,104.8,101.12,102.45,77.14
132.14,81.24,126.7,91.4,110.42,94.92,104.7,100.48,102.5,77.06
132.14,81.22,126.27,91.16,110.04,95.08,104.51,99.88,102.57,77.14
132.08,81.19,125.85,90.94,109.62,95.27,104.31,99.31,102.54,77.19
132.13,81.09,125.4,90.79,109.25,95.43,104.13,98.74,102.47,77.25
132.19,81.02,124.96,90.57,108.93,95.61,103.96,98.15,102.43,77.35
132,81,124.53,90.36,108.8,95.78,103.76,97.6,102.42,77.42
131.84,80.98,124.14,90.14,108.66,95.95,103.52,97.04,102.16,77.5
131.67,80.95,123.74,89.84,108.46,96.12,103.4,96.49,101.93,77.53
131.43,80.9,123.31,89.53,108.21,96.19,103.29,95.97,101.78,77.55
131.24,80.86,122.75,89.24,107.97,96.24,103.17,95.71,101.59,77.58
131.05,80.82,122.2,88.93,107.73,96.27,103.07,95.43,101.43,77.6
131.12,80.18,121.85,88.37,107.33,95.85,102.5,95.12,101.47,77
132.32,80.62,122.48,88.12,108.05,95.6,103.15,94.97,102.13,76.8
132.22,79.87,122,87.6,107.53,96.07,102.52,94.28,101.87,77.38
133.22,79.73,122.28,87.58,108.2,96.22,103.22,92.53,102.4,76.77
132.72,79.72,121.58,86.85,107.23,96.6,102.13,92.62,101.82,77.28
132.17,79.82,121.75,86.9,107.37,96.32,101.57,91.67,101.25,77.85
131.62,79.67,120.93,86.03,106.2,96.1,99.93,90.63,100.72,78.1
132.52,79.52,120.13,85.5,106.18,95.87,100.1,89.5,100.18,78.4
132.1,79.4,119.33,85.43,106.05,95.62,98.9,88.4,99.68,78.77
133.08,79.28,118.42,84.55,106.62,95.55,98.28,87.27,99.2,79.08
132.78,79.17,117.53,84.72,105.88,95.53,97.72,86.13,99.18,79.4
132.75,79.05,116.8,83.68,106.47,95.27,97.25,85,98.97,79.58
132.7,78.88,116.03,83.8,105.75,95,96.72,83.9,98.83,79.77
132.83,78.7,115.08,82.73,106.37,94.72,96.28,82.83,98.65,79.97
133.37,78.5,114.15,81.23,105.73,94.55,95.93,82.22,98.52,80.15
133.93,78.33,113.27,79.73,106.33,94.37,95.58,81.58,98.42,80.35
134.48,78.15,112.42,78.23,105.68,94.27,95.18,80.97,98.32,80.47
135.05,78,111.7,76.68,106.15,93.82,94.77,80.32,98.38,80.57
134.57,77.85,111.08,75.17,105.37,93.37,94.3,79.67,98.42,80.65
134.1,77.73,110.63,75.22,105.62,92.9,93.83,79.08,98.52,80.75
133.65,77.6,110.23,75.48,105.82,92.42,93.33,78.7,98.6,80.9
133.22,77.48,109.85,75.75,104.93,92,92.88,78.73,98.7,81.05
132.8,77.37,109.5,75.97,105.13,91.63,92.45,78.85,98.75,81.15
132.4,77.25,109.15,76.17,104.45,91.27,91.9,79.03,98.8,81.27
132.03,77.12,108.9,76.33,103.77,90.9,91.38,79.32,98.87,81.35
131.7,76.98,108.67,76.42,102.98,90.58,91.5,79.98,98.9,81.42
131.4,76.9,108.45,76.55,101.85,90.23,91.87,81.22,98.97,81.42
131.12,76.42,108.3,76.7,101.63,89.88,92.22,82.43,99,81.42
130.88,76,108.12,76.85,101.35,89.47,92.58,83.65,98.97,81.4
131.05,75.6,107.97,76.98,100.95,88.98,92.97,84.4,98.95,81.45
131.22,75.22,107.78,76.93,100.53,88.48,93.37,85.12,98.98,81.58
130.93,74.8,107.9,77.03,99.73,88.02,93.77,85.85,98.98,81.77
130.63,74.68,108,77.15,99.27,87.53,94.05,86.73,98.98,82.07
130.32,74.57,108.1,77.3,98.75,87.05,94.32,87.67,99.1,82.38
130,74.38,108.23,77.45,98.38,86.68,94.68,88.73,98.95,82.72
129.68,74.18,108.35,77.6,97.95,86.25,95.02,89.55,98.83,82.95
129.35,74.03,108.45,77.73,97.47,85.75,95.35,90.37,98.77,83.23
129.03,73.9,108.57,77.83,97.07,85.2,95.82,91.22,98.32,83.52
128.9,73.78,108.67,77.9,96.72,84.65,96.28,92.12,97.9,83.82
128.77,73.7,108.78,77.93,96.35,84.12,96.78,93.02,98.22,84.12
128.7,73.67,109.03,77.78,95.97,83.63,97.4,93.95,98.48,84.53
128.57,73.62,109.28,77.67,95.53,83.25,98.07,94.97,98.82,84.95
128.47,73.6,109.57,77.53,95.13,82.87,98.72,95.97,98.67,85.42
128.38,73.58,109.87,77.6,94.7,82.58,99.4,96.98,98.45,86
128.37,73.68,110.17,77.68,94.5,82.32,100.07,98,98.12,86.58
128.35,73.75,110.53,77.8,94.35,82.15,100.73,99.03,97.82,87.27
128.32,73.85,110.93,77.88,94.15,81.88,101.38,100.07,97.53,87.93
128.3,73.95,111.37,78.02,93.97,81.65,102.03,101.1,97.23,88.6
128.38,74.07,111.82,78.1,93.87,81.5,102.65,102.2,96.93,89.27
128.43,74.17,112.28,78.18,93.75,81.37,103.25,103.28,96.62,89.98
128.47,74.12,112.8,78.25,93.65,81.1,103.93,104.35,96.33,90.65
128.53,74.12,113.33,78.3,93.6,80.8,104.62,105.42,96.15,91.4
128.5,74.08,113.88,78.32,93.47,80.5,105.25,106.5,96.02,92.1
128.47,73.97,113.92,78.23,93.3,80.15,105.88,107.63,95.87,92.73
128.67,73.83,113.98,78.13,92.95,80.03,106.55,108.75,95.7,93.38
128.87,73.72,113.7,78.05,92.58,80.08,107.28,109.95,95.53,94.02
129.08,73.82,113.5,78.08,92.25,80.45,107.92,111.17,95.32,94.45
129.38,73.9,113.35,78.13,91.93,80.93,108.55,112.42,95.03,94.88
129.65,74.05,113.33,78.23,91.6,81.43,109.25,113.42,94.77,95.27
129.92,74.88,113.32,78.37,91.15,81.95,109.95,114.45,94.48,95.75
130.17,75.73,113.32,78.47,90.75,82.45,110.77,115.53,94.05,96.18
