Student 1,Student 2,Student 3,Student 4,Student 5,Student 6,Student 7,Student 8,Student 9,Student 10
97,85,95,73,82,115,60,98,111,127
74,86.5,78,77.5,85.5,91,79,87,81.5,112.5
86.33,88,88,80.67,87.33,103,73,94.33,91,118
78.5,114.75,95,82,86.25,119.75,85,88.25,85,105
86.8,113.6,85.6,83.8,91.4,120.6,82.2,95.2,94.8,113.6
81.67,111,90.33,83.67,90,120.67,88,114.67,94,115.33
88.43,109.43,92.29,84.57,93.14,120.86,92.14,124.29,93.43,116.57
91.75,108.12,93.75,85.5,96.12,121,95.62,131.38,93,117.25
87.44,106.89,94.89,85.67,98.33,121,98.33,136.89,92.89,118.11
84.7,105.9,96.1,85.7,100.1,121.1,100.5,141.5,92.5,118.6
83.09,105,97,86,101.64,121.27,102.27,145.18,97.82,119.18
81.83,104.25,97.5,86.42,103.08,121.5,103.75,148.17,97.25,119.67
80.85,103.54,97.85,86.23,104.46,121.77,105,150.92,96.85,120.23
80,102.86,98.29,87.14,105.5,122.07,106.07,153.29,96.57,120.71
79.27,102.53,98.6,87.93,106.47,122.4,107.13,154.8,96.4,121.2
78.62,101.88,98.94,88.75,107.25,122.81,108.06,155.94,93.56,122.06
78.06,101.35,99.24,89.59,107.94,123.29,109,156.47,95.35,122.94
77.5,100.94,99.11,90.11,108.61,123.78,109.78,156.94,97.28,123.78
77.21,100.53,98.84,90.63,109.11,124.21,110.42,157.37,99.26,124.53
77.35,100.2,98.55,91.15,109.4,124.55,110.9,157.8,100.95,126.35
77.67,99.9,98.33,91.48,109.81,124.76,111.29,158.14,102.71,127.48
77.86,99.86,99.36,91.91,110.14,124.91,111.64,158.5,104.23,128.5
78.3,99.78,103.3,92.43,110.35,124.91,112,158.83,105.52,129.35
78.92,99.71,106.92,93.04,110.96,124.96,112.17,159.12,106.83,130.08
79.72,99.64,111.12,93.64,111.52,124.96,112.24,159.44,108.08,130.76
80.42,100.23,113.96,94.12,112,124.96,112.35,159.73,108.31,131.46
81.07,99.07,111.56,94.59,112.63,124.96,112.44,159.89,108.56,132.11
81.68,100.14,112.82,95.07,113.11,125.04,112.57,160.07,108.79,133.46
82.21,100.9,110.59,95.52,113.59,125.07,112.66,160.31,109,135.07
82.73,101.53,111.67,95.93,114,125,112.77,160.53,109.3,136.57
83.16,102.13,109.65,96.39,114.35,124.94,112.71,160.74,109.61,137.94
82.31,103.19,110.5,96.78,114.69,124.97,112.78,161,109.94,139.09
82.58,104.18,112.15,97.36,114.91,124.88,112.91,161.24,110.24,140.15
81.76,106.79,113.68,97.91,115.03,124.91,113.06,161.44,110.85,141.15
82.06,109.23,115.14,98.37,115.11,124.74,113.2,161.8,111.46,142.06
81.22,111.56,117.75,98.81,115.22,124.56,113.36,162.06,110.47,142.5
81.76,113.78,119.03,99.19,115.35,123.78,113.51,162.3,110.54,142.84
83,115.79,120.24,99.26,114.74,122.95,113.68,162.08,111.26,142.76
84.15,117.69,120.28,99.31,114.15,122.18,113.77,161.95,111.9,142.67
85.25,119.45,120.3,99.2,113.55,121.38,113.95,161.82,112.53,142.55
86.22,121.15,120.32,99.02,113.05,120.61,114.1,161.73,113.17,142.46
87.02,122.74,122.12,98.9,112.38,119.83,114.29,161.6,113.76,142.36
87.72,124.14,124.12,98.79,111.79,118.88,114.47,161.53,114.35,142.23
88.43,125.45,126.02,98.64,111.16,117.93,114.68,161.48,114.93,142.16
89.09,126.71,127.87,98.6,110.49,117.04,114.93,161.38,114.93,142.04
89.72,127.96,129.65,98.93,109.76,116.3,115.2,161,114.46,141.93
90.32,129.15,131.36,99.28,109.09,115.6,115.45,160.72,114.06,141.28
90.9,130.31,132.98,99.52,108.54,114.92,115.6,160.44,113.67,139.92
91.45,131.45,134.51,99.67,108.02,114.27,115.59,160.2,112.51,139.22
91.98,132.56,135.98,99.84,107.58,113.66,115.54,160,112.54,137.96
92.47,133.63,137.43,99.98,107.29,113.16,115.51,159.8,112.27,137.59
93.12,134.69,138.38,100.08,107.17,112.85,115.48,159.62,112.06,136.4
94.08,135.68,139,100.17,107.11,112.55,115.43,159.43,111.87,136.23
95,136.61,139.57,100.24,107.06,112.24,115.44,159.26,111.7,135.41
96.93,137.47,140.15,101.04,107,111.98,115.22,159.07,110.73,134.53
98.73,138.3,139.36,101.8,106.96,111.66,115.02,158.91,111.05,134.96
100.54,139.09,138.61,102.86,106.98,111.39,114.84,158.7,110.96,135.63
101.31,139.84,137.9,104.53,106.97,111.07,114.69,158.47,110.86,136.41
102.02,140.88,137.2,106.25,106.93,110.76,114.53,158.19,110.78,137.69
102.68,141.87,136.53,107.88,106.87,110.5,114.35,157.92,110.7,138.93
103.43,143.65,136.58,110.07,107.22,110.18,115.1,158.67,110.62,140.4
104.93,145.22,137.22,112.08,107.45,110.67,115.2,159.92,111.5,142.33
105.43,146.32,137.1,114.05,107.65,110.17,116.18,160.57,111.45,143.73
106.85,145.68,136.82,116.03,107.98,109.02,116.15,161.95,112.13,146.2
106.97,146.28,137.67,117.88,107.82,108.63,116.95,162.4,111.72,147.3
108.32,147.03,137.42,119.83,108.15,108.28,116.95,161.37,112.07,148.8
108.47,147.72,136.88,121.73,108.03,107.92,116.9,160.82,112.4,150.3
108.85,148.4,137.4,123.57,107.8,107.58,116.82,160.28,112.95,151.82
109.8,149.1,136.67,125.52,107.58,107.25,116.75,159.75,113.43,153.28
112.07,149.8,137.25,127.5,107.15,106.92,116.68,159.02,114.2,154.78
114.22,150.55,136.77,129.58,106.68,106.58,116.68,158.33,113.15,156.23
116.37,151.2,137.13,131.18,106.22,106.23,116.68,157.67,113.65,157.68
118.5,151.88,136.58,132.88,105.73,105.83,116.85,156.97,114.32,159.07
119.23,152.57,136.92,134.35,105.27,105.55,117.02,156.27,113.97,160.47
119.95,153.25,136.6,135.8,104.77,105.28,117.05,155.67,114.18,161.83
120.53,154.03,137.15,137.22,104.23,104.9,117.08,155.13,114.47,161.08
121.77,154.43,137.48,139,103.7,105.08,117.1,154.72,114.22,160.3
123.02,154.83,137.23,140.82,103.1,105.23,117.3,154.12,113.18,159.5
124.2,155.4,137.75,142.6,102.55,105.38,117.52,153.52,112.78,159.82
126.17,155.28,137.65,144.37,102.62,106,117.82,152.88,111.7,159.75
